payment_id,payment_move_id,invoice_move_id,invoice_number_ref,amount,create_date,last_updated
146049,931985,931983,S-INV/2025/20563,50.06,2025-04-22 15:37:18,2025-04-22 15:37:18
146048,931981,931979,S-INV/2025/20562,41.39,2025-04-22 15:37:47,2025-04-22 15:37:47
146047,931977,931975,S-INV/2025/20561,65.68,2025-04-22 15:37:41,2025-04-22 15:37:41
146046,931974,931972,S-INV/2025/20560,50.79,2025-04-22 15:37:46,2025-04-22 15:37:46
146045,931971,931969,S-INV/2025/20559,79.99,2025-04-22 15:37:36,2025-04-22 15:37:36
146044,931968,931967,S-INV/2025/20558,30.62,2025-04-22 15:37:40,2025-04-22 15:37:40
146041,931958,931957,S-INV/2025/20556,106.66,2025-04-22 15:37:02,2025-04-22 15:37:02
146040,931956,931954,S-INV/2025/20555,25.86,2025-04-22 15:37:37,2025-04-22 15:37:37
146039,931953,931951,S-INV/2025/20554,49.74,2025-04-22 15:37:33,2025-04-22 15:37:33
146036,931943,None,S-INV/2025/20553,0.0,2025-04-22 15:37:29,2025-04-22 15:37:29
146032,931931,931930,S-INV/2025/20550,59.39,2025-04-22 15:37:21,2025-04-22 15:37:21
146031,931929,None,S-INV/2025/20549,0.0,2025-04-22 15:37:25,2025-04-22 15:37:25
146030,931926,931923,S-INV/2025/20548,36.01,2025-04-22 15:37:26,2025-04-22 15:37:26
146029,931922,931920,S-INV/2025/20547,23.06,2025-04-22 15:37:07,2025-04-22 15:37:07
146028,931919,931917,S-INV/2025/20546,48.51,2025-04-22 15:37:24,2025-04-22 15:37:24
146027,931916,931914,S-INV/2025/20545,36.39,2025-04-22 15:37:22,2025-04-22 15:37:22
146025,931910,931908,S-INV/2025/20543,60.19,2025-04-22 15:37:04,2025-04-22 15:37:04
146024,931906,931904,S-INV/2025/20542,36.39,2025-04-22 15:37:20,2025-04-22 15:37:20
146023,931903,931901,S-INV/2025/20541,42.71,2025-04-22 15:37:20,2025-04-22 15:37:20
146022,931902,931899,S-INV/2025/20540,30.61,2025-04-22 15:37:14,2025-04-22 15:37:14
146020,931895,931893,S-INV/2025/20538,38.4,2025-04-22 15:37:17,2025-04-22 15:37:17
146019,931891,931890,S-INV/2025/20537,49.59,2025-04-22 15:37:09,2025-04-22 15:37:09
146018,931888,931887,S-INV/2025/20536,28.62,2025-04-22 15:37:13,2025-04-22 15:37:13
146017,931886,931884,S-INV/2025/20535,38.4,2025-04-22 15:37:12,2025-04-22 15:37:12
146016,931883,931881,S-INV/2025/20534,38.4,2025-04-22 15:37:05,2025-04-22 15:37:05
146012,931871,931869,S-INV/2025/20531,48.79,2025-04-22 15:37:07,2025-04-22 15:37:07
146011,931868,931866,S-INV/2025/20530,46.39,2025-04-22 15:37:03,2025-04-22 15:37:03
146010,931865,931863,S-INV/2025/20529,32.53,2025-04-22 15:37:05,2025-04-22 15:37:05
146008,931853,931848,S-INV/2025/20527,35.01,2025-04-22 15:37:02,2025-04-22 15:37:02
146007,931846,931845,S-INV/2025/20526,60.62,2025-04-22 15:32:55,2025-04-22 15:32:55
146006,931841,931840,S-INV/2025/20525,46.39,2025-04-22 15:31:20,2025-04-22 15:31:20
146005,931838,931837,S-INV/2025/20524,62.95,2025-04-22 15:31:16,2025-04-22 15:31:16
145997,931811,931810,S-INV/2025/20520,6.87,2025-04-22 15:30:33,2025-04-22 15:30:33
145994,931801,931800,S-INV/2025/20517,46.39,2025-04-22 15:30:41,2025-04-22 15:30:41
145993,931799,None,S-INV/2025/20516,0.0,2025-04-22 15:30:40,2025-04-22 15:30:40
145992,931790,931788,S-INV/2025/20515,42.9,2025-04-22 15:30:35,2025-04-22 15:30:35
145990,931785,931783,S-INV/2025/20514,29.57,2025-04-22 15:30:33,2025-04-22 15:30:33
145987,931777,931774,S-INV/2025/20512,59.97,2025-04-22 15:30:28,2025-04-22 15:30:28
145986,931773,931771,S-INV/2025/20511,53.46,2025-04-22 15:30:32,2025-04-22 15:30:32
145985,931772,931770,S-INV/2025/20510,32.08,2025-04-22 15:30:29,2025-04-22 15:30:29
145983,931764,None,S-INV/2025/20508,0.0,2025-04-22 15:29:58,2025-04-22 15:29:58
145981,931756,931752,S-INV/2025/20507,46.39,2025-04-22 15:30:24,2025-04-22 15:30:24
145975,931736,931732,S-INV/2025/20505,73.1,2025-04-22 15:30:15,2025-04-22 15:30:15
145973,931723,931722,S-INV/2025/20504,77.6,2025-04-22 15:30:10,2025-04-22 15:30:10
145972,931721,931717,S-INV/2025/20503,68.0,2025-04-22 15:30:05,2025-04-22 15:30:05
145971,931713,931711,S-INV/2025/20502,73.52,2025-04-22 15:30:04,2025-04-22 15:30:04
145969,931707,931703,S-INV/2025/20500,76.5,2025-04-22 15:29:59,2025-04-22 15:29:59
145968,931702,931699,S-INV/2025/20499,65.84,2025-04-22 15:29:59,2025-04-22 15:29:59
145967,931698,931693,S-INV/2025/20498,56.1,2025-04-22 15:29:59,2025-04-22 15:29:59
145966,931692,931690,S-INV/2025/20497,71.98,2025-04-22 15:29:56,2025-04-22 15:29:56
145964,931673,931666,S-INV/2025/20495,41.38,2025-04-22 15:29:55,2025-04-22 15:29:55
145963,931664,931663,S-INV/2025/20494,58.61,2025-04-22 15:24:40,2025-04-22 15:24:40
145962,931660,931659,S-INV/2025/20493,96.5,2025-04-22 15:24:37,2025-04-22 15:24:37
145960,931651,931650,S-INV/2025/20491,105.22,2025-04-22 15:24:19,2025-04-22 15:24:19
145959,931647,931646,S-INV/2025/20490,74.88,2025-04-22 15:24:10,2025-04-22 15:24:10
145952,931625,931624,S-INV/2025/20488,71.44,2025-04-22 15:23:48,2025-04-22 15:23:48
145951,931623,931622,S-INV/2025/20487,54.78,2025-04-22 15:23:35,2025-04-22 15:23:35
145950,931621,931618,S-INV/2025/20486,79.98,2025-04-22 15:23:33,2025-04-22 15:23:33
145949,931617,931616,S-INV/2025/20485,61.6,2025-04-22 15:23:40,2025-04-22 15:23:40
145948,931615,931614,S-INV/2025/20484,69.7,2025-04-22 15:23:18,2025-04-22 15:23:18
145947,931611,931610,S-INV/2025/20483,75.63,2025-04-22 15:23:29,2025-04-22 15:23:29
145946,931609,931606,S-INV/2025/20482,80.61,2025-04-22 15:23:39,2025-04-22 15:23:39
145945,931603,931602,S-INV/2025/20481,71.99,2025-04-22 15:23:38,2025-04-22 15:23:38
145944,931601,931598,S-INV/2025/20480,69.22,2025-04-22 15:23:37,2025-04-22 15:23:37
145941,931587,931584,S-INV/2025/20478,2647.97,2025-04-22 15:23:32,2025-04-22 15:23:32
145939,931579,931576,S-INV/2025/20476,98.31,2025-04-22 15:23:12,2025-04-22 15:23:12
145938,931575,931574,S-INV/2025/20475,65.01,2025-04-22 15:23:16,2025-04-22 15:23:16
145937,931573,931570,S-INV/2025/20474,84.78,2025-04-22 15:23:08,2025-04-22 15:23:08
145936,931567,931566,S-INV/2025/20473,89.08,2025-04-22 15:23:24,2025-04-22 15:23:24
145935,931561,931560,S-INV/2025/20472,61.58,2025-04-22 15:23:06,2025-04-22 15:23:06
145934,931559,931556,S-INV/2025/20471,50.84,2025-04-22 15:23:05,2025-04-22 15:23:05
145928,931537,None,S-INV/2025/20466,0.0,2025-04-22 15:23:15,2025-04-22 15:23:15
145921,931494,931493,S-INV/2025/20460,85.98,2025-04-22 15:23:04,2025-04-22 15:23:04
145919,931482,931481,S-INV/2025/20458,128.38,2025-04-22 15:17:49,2025-04-22 15:17:49
145918,931477,931476,S-INV/2025/20457,112.1,2025-04-22 15:17:46,2025-04-22 15:17:46
145917,931470,931469,S-INV/2025/20456,125.31,2025-04-22 15:17:45,2025-04-22 15:17:45
145916,931464,931463,S-INV/2025/20455,130.77,2025-04-22 15:17:43,2025-04-22 15:17:43
145915,931458,931457,S-INV/2025/20454,56.16,2025-04-22 15:15:28,2025-04-22 15:15:28
145914,931454,931453,S-INV/2025/20453,118.8,2025-04-22 15:15:25,2025-04-22 15:15:25
145912,931447,931444,S-INV/2025/20452,134.6,2025-04-22 15:14:21,2025-04-22 15:14:21
145910,931441,931440,S-INV/2025/20451,94.2,2025-04-22 15:14:40,2025-04-22 15:14:40
145909,931439,931438,S-INV/2025/20450,86.22,2025-04-22 15:14:42,2025-04-22 15:14:42
145908,931437,931436,S-INV/2025/20449,80.76,2025-04-22 15:14:47,2025-04-22 15:14:47
145907,931435,931434,S-INV/2025/20448,115.56,2025-04-22 15:14:36,2025-04-22 15:14:36
145905,931428,931427,S-INV/2025/20447,106.64,2025-04-22 15:14:39,2025-04-22 15:14:39
145904,931426,931422,S-INV/2025/20446,64.32,2025-04-22 15:14:32,2025-04-22 15:14:32
145902,931419,931415,S-INV/2025/20444,153.28,2025-04-22 15:14:34,2025-04-22 15:14:34
145901,931414,931409,S-INV/2025/20443,84.22,2025-04-22 15:14:36,2025-04-22 15:14:36
145899,931406,931400,S-INV/2025/20441,85.38,2025-04-22 15:14:35,2025-04-22 15:14:35
145898,931397,931396,S-INV/2025/20440,62.89,2025-04-22 15:14:26,2025-04-22 15:14:26
145897,931392,931389,S-INV/2025/20439,116.97,2025-04-22 15:14:24,2025-04-22 15:14:24
145896,931385,931384,S-INV/2025/20438,108.33,2025-04-22 15:14:09,2025-04-22 15:14:09
145895,931383,931382,S-INV/2025/20437,66.22,2025-04-22 15:14:27,2025-04-22 15:14:27
145893,931375,931374,S-INV/2025/20436,57.9,2025-04-22 15:14:14,2025-04-22 15:14:14
145892,931368,931367,S-INV/2025/20435,117.67,2025-04-22 15:14:15,2025-04-22 15:14:15
145891,931366,931359,S-INV/2025/20434,82.86,2025-04-22 15:14:07,2025-04-22 15:14:07
145890,931358,931354,S-INV/2025/20433,85.38,2025-04-22 15:14:05,2025-04-22 15:14:05
145889,931353,931350,S-INV/2025/20432,109.98,2025-04-22 15:14:14,2025-04-22 15:14:14
145888,931349,931348,S-INV/2025/20431,127.77,2025-04-22 15:14:07,2025-04-22 15:14:07
145886,931345,931341,S-INV/2025/20429,110.31,2025-04-22 15:14:12,2025-04-22 15:14:12
145885,931338,931335,S-INV/2025/20428,69.98,2025-04-22 15:14:08,2025-04-22 15:14:08
145884,931334,931333,S-INV/2025/20427,119.97,2025-04-22 15:14:10,2025-04-22 15:14:10
145883,931332,931329,S-INV/2025/20426,101.76,2025-04-22 15:14:08,2025-04-22 15:14:08
145881,931326,931319,S-INV/2025/20424,94.16,2025-04-22 15:14:07,2025-04-22 15:14:07
145880,931301,931298,S-INV/2025/20423,103.2,2025-04-22 15:14:05,2025-04-22 15:14:05
145879,931297,931293,S-INV/2025/20422,79.14,2025-04-22 15:14:05,2025-04-22 15:14:05
145878,931288,931287,S-INV/2025/20421,76.38,2025-04-22 15:14:04,2025-04-22 15:14:04
145876,931282,931281,S-INV/2025/20420,93.94,2025-04-22 15:06:00,2025-04-22 15:06:00
145875,931280,931279,S-INV/2025/20419,91.45,2025-04-22 15:06:00,2025-04-22 15:06:00
145874,931278,931273,S-INV/2025/20418,98.55,2025-04-22 15:06:00,2025-04-22 15:06:00
145873,931263,931262,S-INV/2025/20417,137.63,2025-04-22 15:05:53,2025-04-22 15:05:53
145872,931256,931255,S-INV/2025/20416,114.09,2025-04-22 15:05:51,2025-04-22 15:05:51
145871,931251,931250,S-INV/2025/20415,97.32,2025-04-22 15:05:50,2025-04-22 15:05:50
145868,931237,931236,S-INV/2025/20412,79.62,2025-04-22 15:05:46,2025-04-22 15:05:46
145833,931194,931193,S-INV/2025/20411,253.51,2025-04-22 14:47:54,2025-04-22 14:47:54
145831,931179,931178,S-INV/2025/20409,198.67,2025-04-22 14:46:34,2025-04-22 14:46:34
145829,931171,931170,S-INV/2025/20408,221.49,2025-04-22 14:46:23,2025-04-22 14:46:23
145825,931133,931132,S-INV/2025/20406,164.05,2025-04-22 14:45:37,2025-04-22 14:45:37
145822,931127,931126,S-INV/2025/20404,173.55,2025-04-22 14:45:31,2025-04-22 14:45:31
145821,931125,931120,S-INV/2025/20403,163.02,2025-04-22 14:45:23,2025-04-22 14:45:23
145815,931089,931088,S-INV/2025/20400,125.13,2025-04-22 14:45:22,2025-04-22 14:45:22
145812,931072,931068,S-INV/2025/20399,213.96,2025-04-22 14:45:15,2025-04-22 14:45:15
145809,931047,931042,S-INV/2025/20397,297.79,2025-04-22 14:45:15,2025-04-22 14:45:15
145808,931041,931040,S-INV/2025/20396,197.77,2025-04-22 14:45:10,2025-04-22 14:45:10
145806,931023,931022,S-INV/2025/20394,93.27,2025-04-22 14:45:12,2025-04-22 14:45:12
145805,931016,931013,S-INV/2025/20393,176.56,2025-04-22 14:45:11,2025-04-22 14:45:11
145804,931012,930993,S-INV/2025/20392,58.84,2025-04-22 14:45:10,2025-04-22 14:45:10
145801,929669,929668,S-INV/2025/20389,39.12,2025-04-21 22:06:08,2025-04-21 22:06:08
145800,929666,929665,S-INV/2025/20388,46.39,2025-04-21 21:51:51,2025-04-21 21:51:51
145799,929663,None,S-INV/2025/20387,0.0,2025-04-21 21:45:51,2025-04-21 21:45:51
145798,929661,929660,S-INV/2025/20386,83.08,2025-04-21 21:42:54,2025-04-21 21:42:54
145797,929654,929653,INV/2025/01683,3989.91,2025-04-21 21:10:08,2025-04-21 21:10:08
145796,929556,879132,INV/2025/01275,986.37,2025-04-21 20:47:47,2025-04-21 20:47:47
145792,929552,851875,INV/2025/01116,27.0,2025-04-21 20:46:09,2025-04-21 20:46:09
145793,929553,851794,INV/2025/01113,563.0,2025-04-21 20:46:09,2025-04-21 20:46:09
145794,929554,850348,INV/2025/01089,1180.0,2025-04-21 20:46:09,2025-04-21 20:46:09
145795,929555,798318,INV/2025/00724,2614.0,2025-04-21 20:46:09,2025-04-21 20:46:09
145791,929551,833879,INV/2025/00952,1784.85,2025-04-21 20:41:39,2025-04-21 20:41:39
145789,929549,845937,INV/2025/01066,218.5,2025-04-21 20:41:19,2025-04-21 20:41:19
145790,929550,845931,INV/2025/01065,642.95,2025-04-21 20:41:19,2025-04-21 20:41:19
145788,929538,847422,INV/2025/01077,1437.4,2025-04-21 20:36:04,2025-04-21 20:36:04
145787,929537,852932,INV/2025/01134,625.92,2025-04-21 20:34:49,2025-04-21 20:34:49
145786,929536,929535,INV/2025/01681,1871.25,2025-04-21 20:29:36,2025-04-21 20:29:36
145785,929527,929526,S-INV/2025/20385,28.62,2025-04-21 20:17:40,2025-04-21 20:17:40
145782,929517,929516,S-INV/2025/20382,38.19,2025-04-21 20:05:01,2025-04-21 20:05:01
145779,929507,929506,S-INV/2025/20379,40.98,2025-04-21 20:04:53,2025-04-21 20:04:53
145770,929483,929482,S-INV/2025/20373,46.39,2025-04-21 20:02:48,2025-04-21 20:02:48
145755,929429,929428,S-INV/2025/20361,49.4,2025-04-21 20:02:21,2025-04-21 20:02:21
145752,929422,929420,S-INV/2025/20358,79.28,2025-04-21 20:02:29,2025-04-21 20:02:29
145751,929419,929414,S-INV/2025/20357,86.69,2025-04-21 20:02:20,2025-04-21 20:02:20
145749,929411,929409,S-INV/2025/20355,80.1,2025-04-21 20:02:24,2025-04-21 20:02:24
145746,929401,929398,S-INV/2025/20352,49.75,2025-04-21 20:02:14,2025-04-21 20:02:14
145745,929397,929395,S-INV/2025/20351,26.23,2025-04-21 20:01:57,2025-04-21 20:01:57
145744,929394,929393,S-INV/2025/20350,33.52,2025-04-21 20:02:00,2025-04-21 20:02:00
145743,929392,929391,S-INV/2025/20349,49.64,2025-04-21 20:02:08,2025-04-21 20:02:08
145739,929378,929377,S-INV/2025/20345,44.6,2025-04-21 20:02:06,2025-04-21 20:02:06
145737,929372,929371,S-INV/2025/20343,64.69,2025-04-21 20:01:56,2025-04-21 20:01:56
145736,929370,929369,S-INV/2025/20342,41.39,2025-04-21 20:01:44,2025-04-21 20:01:44
145735,929368,929366,S-INV/2025/20341,34.4,2025-04-21 20:01:59,2025-04-21 20:01:59
145732,929357,929356,S-INV/2025/20338,38.97,2025-04-21 20:01:54,2025-04-21 20:01:54
145727,929343,929340,S-INV/2025/20334,85.79,2025-04-21 20:01:48,2025-04-21 20:01:48
145724,929333,929331,S-INV/2025/20331,41.76,2025-04-21 20:01:50,2025-04-21 20:01:50
145722,929327,929325,S-INV/2025/20329,64.0,2025-04-21 20:01:36,2025-04-21 20:01:36
145721,929324,929320,S-INV/2025/20328,56.79,2025-04-21 20:01:41,2025-04-21 20:01:41
145715,929304,None,S-INV/2025/20322,0.0,2025-04-21 20:01:39,2025-04-21 20:01:39
145711,929289,929282,S-INV/2025/20318,30.61,2025-04-21 20:01:35,2025-04-21 20:01:35
145709,929274,929272,S-INV/2025/20317,24.17,2025-04-21 20:01:34,2025-04-21 20:01:34
