order_id,create_date,last_updated,sales_date,date_order,delivery_date,delivery_address,sales_team,sales_person,amount_total,payment_terms,tags,state,invoice_status,customer,shipping_policy,channel,delivery_status
#W7PXK3QDX7,2025-04-22 04:46:05,2025-04-22 06:57:09,2025-04-22 04:46:06,2025-04-22 04:46:06,2025-06-18 12:59:59,"5212 Ocean Boulevard

Siesta Key FL 34242
United States",Wholesale,Alyssa Kallal,37.34,30 Days,Faire,sale,no,Casa Del Sol Boutique,one,Faire,pending
#AU4SZSDSUM,2025-04-22 04:46:00,2025-04-22 14:24:25,2025-04-22 04:46:04,2025-04-22 04:46:04,2025-04-23 14:00:00,"5212 Ocean Boulevard

Siesta Key FL 34242
United States",Wholesale,Alyssa Kallal,1674.25,30 Days,Faire,sale,to invoice,Casa Del Sol Boutique,one,Faire,pending
S04277,2025-04-21 22:28:04,2025-04-22 14:17:17,2025-04-21 22:00:00,2025-04-21 23:34:50,2025-04-22 19:00:00,"Purple Leopard Boutique
53 Mulberry Avenue

Lake Havasu City AZ 86403
United States",Wholesale,Jada Claiborne,610.25,Due on Ship,,sale,to invoice,Purple Leopard Boutique,one,Wholesale,pending
S04256,2025-04-18 18:32:23,2025-04-22 14:14:39,2025-04-18 18:00:00,2025-04-21 23:11:04,2025-04-22 18:00:00,"Flip Flop Shop- Provo
575 E. University Pkwy
STE E78
Orem UT 84097
United States",Wholesale,Jada Claiborne,804.86,Due on Ship,NEW ACCOUNT,sale,to invoice,Flip Flop Shop- Provo,one,Wholesale,pending
S04257,2025-04-18 18:41:54,2025-04-22 14:16:56,2025-04-18 18:00:00,2025-04-21 23:10:35,2025-04-22 18:00:00,"Flip Flop Shop- Provo
575 E. University Pkwy
STE E78
Orem UT 84097
United States",Wholesale,Jada Claiborne,2986.43,Due on Ship,,sale,to invoice,Flip Flop Shop- Provo,direct,Wholesale,pending
S04278,2025-04-21 22:30:04,2025-04-22 14:18:35,2025-04-21 22:00:00,2025-04-21 22:30:17,2025-04-22 22:00:00,"Food Pantry
3610 Rice Street
Bldg C
Lihui HI 96766
United States",Wholesale,Christina Freberg,449.47,30 Days,JEWELRY,sale,to invoice,Food Pantry,one,Wholesale,pending
#XTVKV8M3ZW,2025-03-24 20:21:09,2025-04-22 19:20:53,2025-04-21 21:30:30,2025-04-21 21:30:30,2025-04-21 12:59:59,"10890 North Avenue

Nehalem OR 97131
United States",Faire,,112.1,30 Days,Faire,sale,invoiced,April Clark,one,Faire,full
#YUB5KU3B28,2025-04-21 21:28:33,2025-04-21 21:28:33,2025-04-21 21:28:33,2025-04-21 21:28:33,2025-04-23 12:59:59,"66 E Main St

Logan OH 43138
United States",Faire,,26.18,30 Days,Faire,sale,no,Gifts That Give Back,one,Faire,pending
#CR63RC4NSW,2025-04-21 21:28:31,2025-04-22 17:51:03,2025-04-21 21:28:33,2025-04-21 21:28:33,2025-04-22 17:00:00,"66 E Main St

Logan OH 43138
United States",Faire,,537.52,30 Days,Faire,sale,invoiced,Gifts That Give Back,one,Faire,full
#J3384JYDZR,2025-04-21 21:28:26,2025-04-22 17:31:48,2025-04-21 21:28:31,2025-04-21 21:28:30,2025-04-22 17:00:00,"10032 100 Street

Peace River AB T8S 1S1
Canada",Faire,,143.53,30 Days,Faire,sale,invoiced,Rachel  Wald,one,Faire,full
#MGT9PPB2TC,2025-04-21 21:28:23,2025-04-22 19:29:27,2025-04-21 21:28:25,2025-04-21 21:28:25,2025-04-22 19:00:00,"162 Coffee Pot Drive

Sedona AZ 86336
United States",Faire,,315.52,30 Days,Faire,sale,invoiced,Yoga Blessings,one,Faire,full
#AZE3P5D97T,2025-04-21 21:28:19,2025-04-22 18:03:40,2025-04-21 21:28:23,2025-04-21 21:28:23,2025-04-22 18:00:00,"1963 Misty Circle

Encinitas CA 92024
United States",Faire,,130.1,30 Days,Faire,sale,invoiced,Kelly Post,one,Faire,full
#QCCRUZAS9V,2025-04-21 21:28:10,2025-04-22 20:14:27,2025-04-21 21:28:18,2025-04-21 21:28:18,2025-04-22 20:00:00,"8900 East Chaparral Road

Scottsdale AZ 85250
United States",Faire,,182.66,30 Days,Faire,sale,invoiced,Retail/Stephanie Schweppe,one,Faire,full
#5FH5CE7XVB,2025-04-21 21:28:09,2025-04-21 21:28:09,2025-04-21 21:28:10,2025-04-21 21:28:10,,"2626 E. ARIZONA BILTMORE CIR. 

Phoenix AZ 85016
United States",Faire,,182.66,30 Days,Faire,sale,no,BETTY A SCHOELEN-JOHNSON,one,Faire,pending
#95Y33QW3YJ,2025-04-21 21:28:09,2025-04-22 06:57:09,2025-04-21 21:28:09,2025-04-21 21:28:09,2025-04-22 12:59:59,"5-5161 Kuhio hwy

Hanalei HI 96714
United States",Wholesale,Christina Freberg,75.94,30 Days,Faire,sale,to invoice,Sand People,one,Faire,pending
#J99NTXP3MF,2025-04-21 21:28:08,2025-04-22 06:57:09,2025-04-21 21:28:09,2025-04-21 21:28:09,2025-05-19 12:59:59,"5-5161 Kuhio hwy

Hanalei HI 96714
United States",Wholesale,Christina Freberg,22.86,30 Days,Faire,sale,no,Sand People,one,Faire,pending
#644K5F82DK,2025-04-21 21:26:12,2025-04-22 06:57:09,2025-04-21 21:28:08,2025-04-21 21:28:08,,"5-5161 Kuhio hwy

Hanalei HI 96714
United States",Wholesale,Christina Freberg,247.22,30 Days,Faire,sale,no,Sand People,one,Faire,pending
#2UHJSWPNWT,2025-04-21 21:25:52,2025-04-22 06:57:09,2025-04-21 21:26:12,2025-04-21 21:26:12,2025-05-10 00:00:00,"325 9th Street, Surf Shack South

Beach Haven NJ 08008
United States",Wholesale,Jada Claiborne,58.73,30 Days,Faire,sale,no,Surf Shack South,one,Faire,pending
#XPAB65XFNB,2025-04-21 21:23:50,2025-04-21 21:23:50,2025-04-21 21:25:51,2025-04-21 21:25:50,2025-05-10 00:00:00,"130 West Water Street

Decorah IA 52101
United States",Faire,,16.0,30 Days,Faire,sale,no,Keri Bodensteiner,one,Faire,pending
#HEQ3JC8SK9,2025-04-21 21:22:23,2025-04-21 21:22:23,2025-04-21 21:23:50,2025-04-21 21:23:50,2025-05-09 12:59:59,"1208 Coastal Highway

Fenwick Island DE 19944
United States",Faire,,98.13,30 Days,Faire,sale,to invoice,Amy Vickers,one,Faire,pending
S04271,2025-04-21 17:13:08,2025-04-22 14:13:28,2025-04-21 17:00:00,2025-04-21 20:43:23,2025-04-22 17:00:00,"Mother of Pearls Corp
9001 Granite Peak Court

Sacramento CA 95829
United States",Wholesale,Jada Claiborne,933.56,Due on Ship,,sale,to invoice,Mother of Pearls Corp,one,Wholesale,pending
S04275,2025-04-21 19:49:43,2025-04-22 15:52:07,2025-04-21 19:00:00,2025-04-21 19:50:52,2025-04-22 19:00:00,"Fin Island Company 
1250 Stickney Point Road

Sarasota FL 34242
United States",Wholesale,Alyssa Kallal,564.0,Due on Ship,,sale,to invoice,Fin Island Company ,one,Wholesale,pending
S04228,2025-04-15 18:18:33,2025-04-22 14:19:01,2025-04-21 18:00:00,2025-04-21 19:10:24,2025-04-23 18:00:00,"Herrings Outdoor Sports
701 North New River Drive

Surf City NC 28445
United States",Wholesale,Alyssa Kallal,930.44,Due on Ship,,sale,to invoice,Herrings Outdoor Sports,one,Wholesale,pending
S04165,2025-04-08 20:42:24,2025-04-22 14:18:15,2025-04-21 20:00:00,2025-04-21 19:09:00,2025-04-22 20:00:00,"Event Network
Lucy's Boutique
354 North Market Building
Boston MA 02109
United States",Wholesale,Alyssa Kallal,3168.0,30 Days,new door,sale,to invoice,Event Network,one,Wholesale,pending
S04273,2025-04-21 18:18:27,2025-04-21 18:18:28,2025-04-21 18:18:28,2025-04-21 18:18:28,2025-04-29 18:00:00,"Beachly Box
415 N. Mission Rd

Los Angeles  90033
",Wholesale,Dillon Mendez,32562.35,Net 30,,sale,to invoice,Beachly Box,one,Wholesale,pending
S04127,2025-04-02 20:23:50,2025-04-21 19:08:41,2025-04-15 20:00:00,2025-04-21 18:06:09,2025-04-16 20:00:00,"Catalyst Surf Shop
109 N Orlando Avenue

Cocoa Beach FL 32931
United States",Wholesale,Jada Claiborne,1009.26,Due on Ship,,sale,invoiced,Catalyst Surf Shop,direct,Wholesale,full
S04272,2025-04-21 18:01:09,2025-04-22 14:13:48,2025-04-21 18:00:00,2025-04-21 18:01:27,2025-04-22 18:00:00,"Mesa Rim
10110 Mesa Rim Rd

San Diego CA 92121
United States",Wholesale,Jada Claiborne,195.0,Due on Ship,,sale,to invoice,Mesa Rim,one,Wholesale,pending
#DT2VNRCKV8,2025-04-21 16:44:38,2025-04-22 06:57:09,2025-04-21 16:44:39,2025-04-21 16:44:39,2025-04-17 12:59:59,"Color It Green
301 Centre Street

Fernandina Beach FL 32034
United States",Wholesale,Christina Freberg,805.96,30 Days,Faire,sale,invoiced,Color It Green,one,Faire,full
#FRY78RFHZY,2025-04-21 14:18:05,2025-04-21 17:49:09,2025-04-21 14:18:13,2025-04-21 14:18:13,2025-04-21 17:00:00,"520 Westover Avenue

Norfolk VA 23507
United States",Faire,,216.67,30 Days,Faire,sale,invoiced,Danielle Collinsworth,one,Faire,full
#X9XQACCXNN,2025-04-21 04:44:51,2025-04-21 14:20:30,2025-04-21 04:44:52,2025-04-21 04:44:52,2025-04-22 14:00:00,"2017 Central Ave

Kearney NE 68845
United States",Faire,,1263.23,30 Days,Faire,sale,no,Olde Towne Alchemy,one,Faire,pending
#5685YTXC5Z,2025-04-21 04:44:50,2025-04-21 16:05:39,2025-04-21 04:44:51,2025-04-21 04:44:51,2025-04-21 16:00:00,"2 Pine Hill Road South

Cape Neddick  ME 03902
United States",Faire,,84.62,30 Days,Faire,sale,invoiced,Melanie tromblee,one,Faire,full
#7B7JBEX9NX,2025-04-21 04:44:49,2025-04-21 04:44:49,2025-04-21 04:44:50,2025-04-21 04:44:50,,"1000 H Street

Chula Vista CA 91910
United States",Faire,,1025.9,30 Days,Faire,sale,to invoice,Gaylord Pacific Resort & Convention Center ATTN RETAIL/MARKETPLACE,one,Faire,pending
#EQ8Y4VZB2E,2025-04-21 04:44:45,2025-04-22 16:55:58,2025-04-21 04:44:46,2025-04-21 04:44:46,2025-04-22 14:00:00,"160 Miller Road

Bethany CT 06524-3243
United States",Faire,,6704.9,30 Days,Faire,sale,invoiced,Amy Rushlow,one,Faire,full
#52XQYGBT7W,2025-04-21 04:44:45,2025-04-22 17:29:02,2025-04-21 04:44:45,2025-04-21 04:44:45,2025-04-22 17:00:00,"350 Kennedy Boulevard

Pittston PA 18640
United States",Faire,,195.23,30 Days,Faire,sale,invoiced,Sally VanScoy,one,Faire,full
#9BNGKJV7CZ,2025-04-21 04:44:43,2025-04-21 18:02:38,2025-04-21 04:44:44,2025-04-21 04:44:44,2025-04-21 18:00:00,"70 East Kaahumanu Avenue

Kahului HI 96732-2176
United States",Wholesale,Jada Claiborne,344.2,30 Days,Faire,sale,invoiced,Celestial Romero,one,Faire,full
#4JUEZWEWPN,2025-04-20 04:46:39,2025-04-21 17:20:28,2025-04-20 04:46:39,2025-04-20 04:46:39,2025-04-21 17:00:00,"112 W. Middle Street

Chelsea MI 48118
United States",Faire,,68.16,30 Days,Faire,sale,invoiced,The Potting Shed,one,Faire,full
#DE5D4XNRS6,2025-04-20 04:46:38,2025-04-21 15:54:54,2025-04-20 04:46:38,2025-04-20 04:46:38,2025-04-21 15:00:00,"Flip Flop Shop - Port St Lucie #342
5505 NW Pine Trail Cir.

Port St Lucie FL 34983
United States",Wholesale,Alyssa Kallal,154.1,30 Days,Faire,sale,invoiced,Flip Flop Shop - Port St Lucie #342,one,Faire,full
#SAERH4C5KK,2025-04-20 04:46:36,2025-04-21 18:11:07,2025-04-20 04:46:37,2025-04-20 04:46:37,2025-04-21 18:00:00,"5257 Ehrlich Rd

tampa FL 33624-6311
United States",Faire,,866.26,30 Days,Faire,sale,invoiced,Andrea Andrews,one,Faire,full
#TNST5TVY2S,2025-04-20 04:46:35,2025-04-21 15:47:56,2025-04-20 04:46:36,2025-04-20 04:46:36,2025-04-21 15:00:00,"940 Old Silver Mine Road

McCaysville GA 30555
United States",Faire,,76.31,30 Days,Faire,sale,invoiced,Deb Enox,one,Faire,full
#HE7TFKQVDC,2025-04-19 04:44:31,2025-04-22 15:49:59,2025-04-19 04:44:32,2025-04-19 04:44:32,2025-04-22 15:00:00,"19420 SW Pomona Dr.

Beaverton OR 97007
United States",Faire,,138.43,30 Days,Faire,sale,invoiced,Carey Maffia,one,Faire,full
#3C3QH7NVVH,2025-04-19 04:44:31,2025-04-19 06:57:25,2025-04-19 04:44:31,2025-04-19 04:44:31,2025-05-19 12:59:59,"Sun & Sea Surfwear
PO Bx 2158

Avalon CA 90704
United States",Wholesale,Christina Freberg,46.02,30 Days,Faire,sale,no,Sun & Sea Surfwear,one,Faire,pending
#55UTEVB729,2025-04-19 04:44:29,2025-04-22 16:02:19,2025-04-19 04:44:30,2025-04-19 04:44:30,2025-04-22 16:00:00,"Sun & Sea Surfwear
PO Bx 2158

Avalon CA 90704
United States",Wholesale,Christina Freberg,692.55,30 Days,Faire,sale,invoiced,Sun & Sea Surfwear,one,Faire,full
#4A5JT4RR5Z,2025-04-19 04:44:28,2025-04-19 06:57:25,2025-04-19 04:44:29,2025-04-19 04:44:29,,"439 Poinsettia Avenue

Clearwater FL 33767
United States",Wholesale,Alyssa Kallal,833.46,30 Days,Faire,sale,to invoice,Katy Lambert,one,Faire,pending
#V7REYCKQ7T,2025-04-19 04:44:28,2025-04-21 20:54:37,2025-04-19 04:44:28,2025-04-19 04:44:28,2025-05-09 20:00:00,"317 F Street

Lincoln CA 95648
United States",Faire,,82.83,30 Days,Faire,sale,no,Rachel Morrow,one,Faire,pending
#N5EZQGX223,2025-04-19 04:44:26,2025-04-21 20:53:45,2025-04-19 04:44:26,2025-04-19 04:44:26,2025-04-28 04:00:00,"4808 Manor Ave.

Portsmouth VA 23703
United States",Faire,,783.94,30 Days,Faire,sale,to invoice,Bonnie McDonnell,one,Faire,pending
#4JWGBPAMQ7,2025-04-19 04:44:25,2025-04-19 04:44:25,2025-04-19 04:44:25,2025-04-19 04:44:25,,"122 N. 3Rd Ave.

Oakdale CA 95361
United States",Faire,,797.7,30 Days,Faire,sale,no,Tiffany Trunnell,one,Faire,pending
#SCMCXARM9R,2025-04-19 04:44:24,2025-04-22 16:12:32,2025-04-19 04:44:24,2025-04-19 04:44:24,2025-04-22 16:00:00,"5162 Millwood Drive

Canton GA 30114
United States",Faire,,94.42,30 Days,Faire,sale,invoiced,Nikki Lees,one,Faire,full
#53GMEV28GN,2025-04-19 04:44:20,2025-04-19 04:44:20,2025-04-19 04:44:23,2025-04-19 04:44:23,,"53 East Morgan Court

Hilton Head Island SC 29926
United States",Faire,,1419.2,30 Days,Faire,sale,to invoice,Jean Rioux,one,Faire,pending
S04258,2025-04-18 19:38:44,2025-04-18 19:42:01,2025-04-15 19:00:00,2025-04-18 19:42:01,2025-04-21 19:00:00,"The Green Cat Juice Bar & Market
3801 Pacific Ave

Virginia Beach VA 23451
United States",Wholesale,Nicole Frazier,2081.29,Due on Ship,BAJA15%,sale,to invoice,The Green Cat Juice Bar & Market,direct,Wholesale,pending
S04166,2025-04-08 20:58:30,2025-04-21 16:27:57,2025-04-18 20:00:00,2025-04-18 18:42:04,2025-04-21 20:00:00,"Event Network
Beach House
1206 Celebrity Circle BB208
Myrtle Beach SC 29577
United States",Wholesale,Alyssa Kallal,4181.38,30 Days,new door,sale,to invoice,Event Network,one,Wholesale,pending
S04173,2025-04-08 22:30:23,2025-04-21 16:28:10,2025-04-18 20:00:00,2025-04-18 18:33:07,2025-04-21 22:00:00,"Event Network
Beach House
351-353 St Armands Circle
Sarasota FL 34236
United States",Wholesale,Alyssa Kallal,4313.38,30 Days,new door,sale,to invoice,Event Network,one,Wholesale,pending
S04175,2025-04-08 22:44:09,2025-04-21 16:28:06,2025-04-18 20:00:00,2025-04-18 18:29:31,2025-04-21 22:00:00,"Event Network
Beach house/Barefoot Landing
4910 Highway 17 South, Suite B
North Myrtle Beach SC 29582
United States",Wholesale,Alyssa Kallal,4279.38,30 Days,new door,sale,to invoice,Event Network,one,Wholesale,pending
S03860,2025-02-25 20:47:45,2025-04-18 18:26:12,2025-02-21 18:00:00,2025-04-18 18:24:39,2025-02-26 18:00:00,"Heritage Surf
744 West Avenue

Ocean City NJ 08243
United States",Wholesale,Christina Freberg,2218.38,30 Days,,sale,invoiced,Heritage Surf,direct,Wholesale,full
S04174,2025-04-08 22:35:23,2025-04-21 16:28:14,2025-04-18 20:00:00,2025-04-18 17:33:25,2025-04-21 22:00:00,"Event Network
Crabby Jack's General Store
77 South Market St
Charleston SC 29401
United States",Wholesale,Alyssa Kallal,4128.13,30 Days,new door,sale,to invoice,Event Network,one,Wholesale,pending
S04254,2025-04-18 16:42:56,2025-04-21 16:28:45,2025-04-18 17:00:00,2025-04-18 17:17:10,2025-04-21 16:00:00,"Maxwell's
10 Main Street
STE 100
Jekyll Island GA 31527
United States",Wholesale,Jada Claiborne,279.4,Due on Ship,,sale,no,Maxwell's,one,Wholesale,pending
S03529,2025-01-14 22:36:24,2025-04-18 16:40:19,2025-01-14 08:00:00,2025-04-18 16:39:12,2025-03-14 21:00:00,"Red Wagon Emporium
Fire island Ferries
99 Maple Avenue
Bay Shore NY 11706
United States",Wholesale,Jada Claiborne,1657.39,Due on Ship,surfexpo_Jan25,sale,invoiced,Red Wagon Emporium,direct,Wholesale,full
S03796,2025-02-12 19:24:18,2025-04-18 16:32:39,2025-02-11 19:00:00,2025-04-18 16:23:34,2025-03-15 07:00:00,"R Cubed Lifestyle
5617 H St

Sacramento CA 95819
United States",Wholesale,Christina Freberg,819.0,Due on Ship,MAGICLV_Feb25,sale,invoiced,R Cubed Lifestyle,direct,Wholesale,full
S03807,2025-02-13 21:39:16,2025-04-18 16:19:06,2025-02-13 21:00:00,2025-04-18 16:17:12,2025-03-15 20:00:00,"South Coast Surf Shop
1930 Bacon Street

San Diego CA 92107
United States",Wholesale,Alyssa Kallal,1932.0,Due on Ship,,sale,invoiced,South Coast Surf Shop,direct,Wholesale,full
S03986,2025-03-25 19:58:02,2025-04-18 15:41:11,2025-03-25 19:00:00,2025-04-18 15:39:13,2025-03-25 19:00:00,"Gypsy Boutique
1960 Marciel Road

Livermore CA 94551
United States",Wholesale,Christina Freberg,1913.31,Due on Ship,"NEW ACCOUNT, PROMO_SpringMailer",sale,invoiced,Gypsy Boutique,one,Wholesale,full
S04250,2025-04-17 17:25:34,2025-04-22 15:24:26,2025-04-17 17:00:00,2025-04-18 15:06:26,2025-04-18 17:00:00,"American Aquatic
127 West Main Street

Elkin NC 28621
United States",Wholesale,Alyssa Kallal,0.0,30 Days,,sale,invoiced,American Aquatic,one,Wholesale,full
#X6683APU9D,2025-04-18 14:30:59,2025-04-22 16:19:51,2025-04-18 14:31:00,2025-04-18 14:31:00,2025-04-22 16:00:00,"205 Maple Avenue

Cheshire CT 06410
United States",Faire,,79.17,30 Days,Faire,sale,invoiced,Laurie Acosta,one,Faire,full
#C9GTVQCBU6,2025-04-18 14:30:56,2025-04-22 16:30:05,2025-04-18 14:30:59,2025-04-18 14:30:59,2025-04-22 16:00:00,"140 Shawmut Avenue

Boston MA 02118
United States",Faire,,264.38,30 Days,Faire,sale,invoiced,yana tarasenko,one,Faire,full
#WPG77TXUT3,2025-04-18 14:30:51,2025-04-21 19:38:46,2025-04-18 14:30:56,2025-04-18 14:30:56,2025-04-21 19:00:00,"213 Marine Ave 

Newport Beach CA 92662
United States",Wholesale,Alyssa Kallal,237.57,30 Days,Faire,sale,invoiced,Kimmy Balboa,one,Faire,full
#NQ4AKMMB45,2025-04-18 04:43:44,2025-04-18 21:48:04,2025-04-18 04:43:44,2025-04-18 04:43:44,2025-04-18 21:00:00,"PO Bx 2158

Avalon CA 90704
United States",Wholesale,Christina Freberg,257.71,30 Days,Faire,sale,invoiced,Martin Leyva,one,Faire,full
#JR2ZC8REAK,2025-04-18 04:43:42,2025-04-21 19:29:33,2025-04-18 04:43:43,2025-04-18 04:43:43,2025-04-21 19:00:00,"2762 Landmark Drive

Clearwater FL 33761
United States",Faire,,554.08,30 Days,Faire,sale,invoiced,Kimberly Wood,one,Faire,full
#7HPH6T67ZG,2025-04-18 04:43:41,2025-04-18 04:43:41,2025-04-18 04:43:42,2025-04-18 04:43:42,,"2400 Longstone Lane

Marriottsville MD 21104
United States",Faire,,165.74,30 Days,Faire,sale,no,Blu Salon,one,Faire,pending
#B9R72GW543,2025-04-18 04:43:40,2025-04-21 19:53:45,2025-04-18 04:43:40,2025-04-18 04:43:40,2025-04-21 19:00:00,"104 East Maple Avenue

Fayetteville WV 25840
United States",Faire,,1054.31,30 Days,Faire,sale,invoiced,Jen Lanham,one,Faire,full
#RNMT64J2TT,2025-04-18 04:43:39,2025-04-18 13:58:54,2025-04-18 04:43:40,2025-04-18 04:43:40,2025-06-16 12:59:59,"101 Palm Harbor Parkway

Palm Coast FL 32137
United States",Wholesale,Jada Claiborne,38.06,30 Days,Faire,sale,to invoice,Sara's at European Village,one,Faire,pending
#GVWQAC4M2Z,2025-04-18 04:43:39,2025-04-21 17:46:50,2025-04-18 04:43:39,2025-04-18 04:43:39,2025-04-21 13:00:00,"101 Palm Harbor Parkway

Palm Coast FL 32137
United States",Wholesale,Jada Claiborne,217.79,30 Days,Faire,sale,invoiced,Sara's at European Village,one,Faire,full
