refund_id,order_id,created_at,processed_at,updated_at,total_refunded,refund_amount,sale_id,product_title,gross_returns,discounts_returned,shipping_returned,taxes_returned,return_fees,net_returns,total_returns
gid://shopify/Refund/968105361507,#444142,2025-01-03 22:08:48,2025-01-03 22:08:48,2025-01-03 22:08:48,56.64,56.64,#444142,"Granite Wide Leg Cotton Pants, Sage Baja Pullover",62.980000000000004,0.0,0.0,0.0,0.0,62.980000000000004,62.980000000000004
gid://shopify/Refund/968953462883,#444182,2025-01-08 22:42:44,2025-01-08 22:42:44,2025-01-08 22:42:44,51.35,51.35,#444182,Nosara Lounge Set,47.99,0.0,0.0,3.36,0.0,47.99,51.35
gid://shopify/Refund/967867564131,#444187,2025-01-02 20:28:30,2025-01-02 20:28:30,2025-01-02 20:28:30,95.6,95.6,#444187,"Cosmic Teal Harem Pants, Rainforest Harem Pants, Deep Teal Harem Pants, Celestial Grey Harem Pants",95.96,0.0,0.0,7.470000000000001,0.0,95.96,103.42999999999999
gid://shopify/Refund/969598763107,#444195,2025-01-13 18:09:20,2025-01-13 18:09:20,2025-01-13 18:09:20,19.36,19.36,#444195,Deep Teal Harem Pants,23.99,0.0,0.0,1.32,0.0,23.99,25.31
gid://shopify/Refund/970337321059,#444202,2025-01-17 22:32:39,2025-01-17 22:32:40,2025-01-17 22:32:40,0.0,0.0,#444202,Cream Saltwater Shrug,25.79,0.0,0.0,1.16,0.0,25.79,26.95
gid://shopify/Refund/970781589603,#444215,2025-01-21 22:47:54,2025-01-21 22:47:54,2025-01-21 22:47:54,0.0,0.0,#444215,Como Harem Pants,23.99,0.0,0.0,1.2,0.0,23.99,25.189999999999998
gid://shopify/Refund/970115612771,#444226,2025-01-16 17:34:41,2025-01-16 17:34:41,2025-01-16 17:34:41,18.04,18.04,#444226,Black Harem Pants,23.99,0.0,0.0,0.0,0.0,23.99,23.99
gid://shopify/Refund/967867072611,#444265,2025-01-02 20:25:52,2025-01-02 20:25:52,2025-01-02 20:25:52,73.96,73.96,#444265,"Sage Cotton Shorts, Sahara Shorts, Pacific Wide Leg Cotton Pants",73.18,0.0,0.0,6.03,0.0,73.18,79.21000000000001
gid://shopify/Refund/969915826275,#444286,2025-01-15 16:06:28,2025-01-15 16:06:28,2025-01-15 16:06:28,57.44,57.44,#444286,"Granite Adventure Cargo Pants, Onyx Hatha Long Sleeve Top",61.78,0.0,0.0,0.0,0.0,61.78,61.78
gid://shopify/Refund/967823425635,#444326,2025-01-02 18:11:47,2025-01-02 18:11:47,2025-01-02 18:11:47,46.02,46.02,#444326,Yao Tribal Print Lounge Set,47.99,0.0,0.0,3.18,0.0,47.99,51.17
gid://shopify/Refund/972110397539,#444427,2025-01-31 10:58:49,2025-01-31 10:58:49,2025-01-31 10:58:49,100.68,100.68,#444427,"Onyx Vinyasa Tank, Slate Vinyasa Tank, Slate Vinyasa Tank, Pearl Vinyasa Tank",98.96,0.0,0.0,7.67,0.0,98.96,106.63
gid://shopify/Refund/970338107491,#444429,2025-01-17 22:36:45,2025-01-17 22:36:45,2025-01-17 22:36:45,0.0,0.0,#444429,Tidal Harem Pants,23.99,0.0,0.0,0.0,0.0,23.99,23.99
gid://shopify/Refund/969840590947,#444512,2025-01-14 23:03:38,2025-01-14 23:03:38,2025-01-14 23:03:38,21.09,21.09,#444512,Black Harem Pants,23.99,0.0,0.0,1.44,0.0,23.99,25.43
gid://shopify/Refund/969244278883,#444581,2025-01-10 16:28:08,2025-01-10 16:28:09,2025-01-10 16:28:09,57.12,57.12,#444581,"Master Healer 2mm Metal Accent Healing Anklet, Mystic Plum Harem Pants",59.989999999999995,0.0,0.0,3.08,0.0,59.989999999999995,63.06999999999999
gid://shopify/Refund/970341548131,#444585,2025-01-17 22:54:03,2025-01-17 22:54:03,2025-01-17 22:54:03,21.33,21.33,#444585,Master Healer 4mm Healing Necklace,19.79,0.0,0.0,1.54,0.0,19.79,21.33
gid://shopify/Refund/969245229155,#444645,2025-01-10 16:32:05,2025-01-10 16:32:05,2025-01-10 16:32:05,96.25,96.25,#444645,"Black Harem Pants, Lahu Tribal Print Harem Pants, Akha Tribal Print Harem Pants, Rainforest Harem Pants",95.96,0.0,0.0,6.24,0.0,95.96,102.19999999999999
gid://shopify/Refund/967819657315,#444663,2025-01-02 17:58:30,2025-01-02 17:58:30,2025-01-02 17:58:30,0.0,0.0,#444663,Master Healer 4mm Healing Bracelet,28.78,0.0,0.0,1.87,0.0,28.78,30.650000000000002
gid://shopify/Refund/969947381859,#444781,2025-01-15 17:53:09,2025-01-15 17:53:09,2025-01-15 17:53:09,54.56,54.56,#444781,"Akha Tribal Print Harem Pants, Akha Tribal Print Kimono",50.989999999999995,0.0,0.0,3.57,0.0,50.989999999999995,54.559999999999995
gid://shopify/Refund/969245622371,#444798,2025-01-10 16:32:50,2025-01-10 16:32:51,2025-01-10 16:32:51,45.04,45.04,#444798,Nosara Lounge Set,47.99,0.0,0.0,3.0,0.0,47.99,50.99
gid://shopify/Refund/968486846563,#444815,2025-01-06 22:13:25,2025-01-06 22:13:25,2025-01-06 22:13:25,0.0,0.0,#444815,Akha Tribal Print Harem Pants,23.99,0.0,0.0,2.1,0.0,23.99,26.09
gid://shopify/Refund/969245294691,#444866,2025-01-10 16:32:13,2025-01-10 16:32:14,2025-01-10 16:32:14,19.72,19.72,#444866,Mystic Plum Harem Pants,23.99,0.0,0.0,1.68,0.0,23.99,25.669999999999998
gid://shopify/Refund/969309192291,#445126,2025-01-10 21:13:03,2025-01-10 21:13:03,2025-01-10 21:13:03,0.0,0.0,#445126,Mystic Plum Harem Pants,23.99,0.0,0.0,1.86,0.0,23.99,25.849999999999998
gid://shopify/Refund/967912226915,#445144,2025-01-02 23:05:56,2025-01-02 23:05:56,2025-01-02 23:05:56,41.99,41.99,#445144,"Baja Harem Pants, Black Harem Pants",45.59,0.0,0.0,2.74,0.0,45.59,48.330000000000005
gid://shopify/Refund/967914160227,#445178,2025-01-02 23:16:37,2025-01-02 23:16:37,2025-01-02 23:16:37,36.43,36.43,#445178,Seaside Spice Nomad Jumpsuit,37.79,0.0,0.0,2.64,0.0,37.79,40.43
gid://shopify/Refund/969648046179,#445310,2025-01-13 21:09:00,2025-01-13 21:09:00,2025-01-13 21:09:00,0.0,0.0,#445310,"Espresso Adventure Cargo Pants, Seaside Spice Wide Leg Cotton Pants",64.78,0.0,0.0,4.21,0.0,64.78,68.99
gid://shopify/Refund/969244409955,#445324,2025-01-10 16:28:49,2025-01-10 16:28:49,2025-01-10 16:28:49,21.04,21.04,#445324,Black Wide Leg Drawstring Pants,26.99,0.0,0.0,0.0,0.0,26.99,26.99
gid://shopify/Refund/979057049699,#445357,2025-03-27 13:19:17,2025-03-27 13:19:17,2025-03-27 13:19:17,0.0,0.0,#445357,"Onyx Full Length Yin Scoop Neck Top, Black Harem Pants, Vintage Wash Bondi Harem Pants, Celestial Grey Harem Pants",97.75999999999999,0.0,0.0,0.0,0.0,97.75999999999999,97.75999999999999
gid://shopify/Refund/969244770403,#445403,2025-01-10 16:30:10,2025-01-10 16:30:10,2025-01-10 16:30:10,15.39,15.39,#445403,Oxford Wide Leg Drawstring Pants,19.94,0.0,0.0,1.4,0.0,19.94,21.34
gid://shopify/Refund/967807598691,#445495,2025-01-02 17:09:50,2025-01-02 17:09:50,2025-01-02 17:09:50,36.43,36.43,#445495,"Sage Cotton Shorts, Cream Boyfriend Button Up",37.18,0.0,0.0,2.88,0.0,37.18,40.06
gid://shopify/Refund/968484356195,#445530,2025-01-06 22:02:47,2025-01-06 22:02:47,2025-01-06 22:02:47,66.48,66.48,#445530,"Rainforest Harem Pants, Black Harem Pants, Onyx Cropped Yin Scoop Neck Top",71.97,0.0,0.0,0.0,0.0,71.97,71.97
gid://shopify/Refund/977147592803,#445589,2025-03-18 21:08:29,2025-03-18 21:08:30,2025-03-18 21:08:30,0.0,0.0,#445589,Yao Tribal Print Harem Pants,23.99,0.0,0.0,1.97,0.0,23.99,25.959999999999997
gid://shopify/Refund/967822278755,#445591,2025-01-02 18:07:42,2025-01-02 18:07:42,2025-01-02 18:07:42,21.17,21.17,#445591,Deep Teal Harem Pants,23.99,0.0,0.0,1.52,0.0,23.99,25.509999999999998
gid://shopify/Refund/969245458531,#445624,2025-01-10 16:32:38,2025-01-10 16:32:38,2025-01-10 16:32:38,70.59,70.59,#445624,"Black Harem Pants, Santa Barbara Island Harem Pants, Tidal Harem Pants",71.97,0.0,0.0,4.57,0.0,71.97,76.53999999999999
gid://shopify/Refund/970337681507,#445632,2025-01-17 22:34:13,2025-01-17 22:34:13,2025-01-17 22:34:13,0.0,0.0,#445632,"Black Harem Pants, Amazonite Harem Pants",47.98,0.0,0.0,2.88,0.0,47.98,50.86
gid://shopify/Refund/968040710243,#445637,2025-01-03 18:41:59,2025-01-03 18:41:59,2025-01-03 18:41:59,0.0,0.0,#445637,Mystic Plum Harem Pants,23.99,0.0,0.0,1.68,0.0,23.99,25.669999999999998
gid://shopify/Refund/971575328867,#445640,2025-01-27 23:20:02,2025-01-27 23:20:02,2025-01-27 23:20:02,17.65,17.65,#445640,"""I Am Fierce"" Goddess Necklace",20.4,0.0,0.0,1.42,0.0,20.4,21.82
gid://shopify/Refund/969757294691,#445645,2025-01-14 16:20:20,2025-01-14 16:20:20,2025-01-14 16:20:20,0.0,0.0,#445645,Onyx Hatha Long Sleeve Top,29.99,0.0,0.0,2.1,0.0,29.99,32.089999999999996
gid://shopify/Refund/969841410147,#445651,2025-01-14 23:08:13,2025-01-14 23:08:13,2025-01-14 23:08:13,0.0,0.0,#445651,Mystic Plum Harem Pants,23.99,0.0,0.0,1.68,0.0,23.99,25.669999999999998
gid://shopify/Refund/969937911907,#445657,2025-01-15 17:18:04,2025-01-15 17:18:05,2025-01-15 17:18:05,32.41,32.41,#445657,Black Harem Pants,23.99,0.0,0.0,1.98,0.0,23.99,25.97
gid://shopify/Refund/970722771043,#445687,2025-01-21 17:41:58,2025-01-21 17:41:58,2025-01-21 17:41:58,22.64,22.64,#445687,"Master Healer 3mm Healing Necklace, Shipped Green Carbon Neutral Shipment",22.64,0.0,0.0,0.0,0.0,22.64,22.64
gid://shopify/Refund/970923769955,#445757,2025-01-22 21:21:48,2025-01-22 21:21:48,2025-01-22 21:21:48,17.19,17.19,#445757,Self Love 4mm Healing Necklace,19.79,0.0,0.0,1.58,0.0,19.79,21.369999999999997
gid://shopify/Refund/969126772835,#445772,2025-01-09 21:33:25,2025-01-09 21:33:25,2025-01-09 21:33:25,159.0,159.0,#445772,"Black Wide Leg Cotton Pants, White Wide Leg Beach Cotton Pants, Granite Wide Leg Cotton Pants, Cream Wide Leg Cotton Pants, Pacific Wide Leg Cotton Pants",164.95000000000002,0.0,0.0,0.0,0.0,164.95000000000002,164.95000000000002
gid://shopify/Refund/969420701795,#445858,2025-01-11 19:03:44,2025-01-11 19:03:45,2025-01-11 19:03:45,76.7,76.7,#445858,"Moon Shadow Harem Pants, Pacific Romper, Seven Chakras Harem Pants",77.97,0.0,0.0,4.68,0.0,77.97,82.65
gid://shopify/Refund/968407285859,#445878,2025-01-06 17:27:12,2025-01-06 17:27:12,2025-01-06 17:27:12,0.0,0.0,#445878,"Onyx Cropped Yin Scoop Neck Top, Black Harem Pants, Pearl Cropped Yin Scoop Neck Top, Pearl Vinyasa Tank",101.96,0.0,0.0,6.11,0.0,101.96,108.07
gid://shopify/Refund/968483962979,#445879,2025-01-06 22:00:05,2025-01-06 22:00:05,2025-01-06 22:00:05,45.72,45.72,#445879,Santa Barbara Pants Lounge Set,47.99,0.0,0.0,2.88,0.0,47.99,50.870000000000005
gid://shopify/Refund/968482127971,#445896,2025-01-06 21:52:07,2025-01-06 21:52:07,2025-01-06 21:52:07,21.09,21.09,#445896,Bondi Harem Pants,23.99,0.0,0.0,1.44,0.0,23.99,25.43
gid://shopify/Refund/974187200611,#445948,2025-02-19 16:11:22,2025-02-19 16:11:22,2025-02-19 16:11:22,29.26,29.26,#445948,Canggu Kimono Cover Up,27.0,0.0,0.0,2.26,0.0,27.0,29.259999999999998
gid://shopify/Refund/968517255267,#445953,2025-01-07 00:26:11,2025-01-07 00:26:11,2025-01-07 00:26:11,0.0,0.0,#445953,Seven Chakras Harem Pants,23.99,0.0,0.0,0.0,0.0,23.99,23.99
gid://shopify/Refund/967817429091,#446078,2025-01-02 17:49:22,2025-01-02 17:49:22,2025-01-02 17:49:22,31.21,31.21,#446078,Pacific Wide Leg Cotton Pants,32.99,0.0,0.0,2.56,0.0,32.99,35.550000000000004
gid://shopify/Refund/969760538723,#446175,2025-01-14 16:38:15,2025-01-14 16:38:15,2025-01-14 16:38:15,25.81,25.81,#446175,Pearl Hatha Long Sleeve Top,29.99,0.0,0.0,0.0,0.0,29.99,29.99
gid://shopify/Refund/968489173091,#446191,2025-01-06 22:21:00,2025-01-06 22:21:01,2025-01-06 22:21:01,16.23,16.23,#446191,Black Boyfriend Button Up,14.99,0.0,0.0,1.24,0.0,14.99,16.23
gid://shopify/Refund/967911276643,#446287,2025-01-02 22:59:14,2025-01-02 22:59:14,2025-01-02 22:59:14,0.0,0.0,#446287,Pearl Hatha Long Sleeve Top,29.99,0.0,0.0,0.0,0.0,29.99,29.99
gid://shopify/Refund/967911309411,#446287,2025-01-02 22:59:34,2025-01-02 22:59:34,2025-01-02 22:59:34,0.0,0.0,#446287,Como Harem Pants,23.99,0.0,0.0,0.0,0.0,23.99,23.99
gid://shopify/Refund/967914618979,#446287,2025-01-02 23:17:35,2025-01-02 23:17:35,2025-01-02 23:17:35,0.0,0.0,#446287,Mystic Plum Harem Pants,23.99,0.0,0.0,0.0,0.0,23.99,23.99
gid://shopify/Refund/969244901475,#446305,2025-01-10 16:31:01,2025-01-10 16:31:01,2025-01-10 16:31:01,19.48,19.48,#446305,Akha Tribal Print Harem Pants,23.99,0.0,0.0,1.44,0.0,23.99,25.43
gid://shopify/Refund/969245130851,#446366,2025-01-10 16:31:47,2025-01-10 16:31:48,2025-01-10 16:31:48,79.14,79.14,#446366,Master Healer 4mm Healing Necklace,79.16,0.0,0.0,5.93,0.0,79.16,85.09
gid://shopify/Refund/967816446051,#446403,2025-01-02 17:44:43,2025-01-02 17:44:44,2025-01-02 17:44:44,35.89,35.89,#446403,Seaside Spice Wide Leg Cotton Pants,32.99,0.0,0.0,2.9,0.0,32.99,35.89
gid://shopify/Refund/967816216675,#446462,2025-01-02 17:43:46,2025-01-02 17:43:46,2025-01-02 17:43:46,41.64,41.64,#446462,"Black Harem Pants, Emerald Isle Harem Pants",47.98,0.0,0.0,0.0,0.0,47.98,47.98
gid://shopify/Refund/968404926563,#446479,2025-01-06 17:16:38,2025-01-06 17:16:38,2025-01-06 17:16:38,45.39,45.39,#446479,"Akha Tribal Print Harem Pants, Mystic Plum Harem Pants",47.98,0.0,0.0,3.36,0.0,47.98,51.339999999999996
